Date : 2025-05-13 14:09:31
Directory : c:\Users\Modather\FlutterProjects\personal_projects\portfolio
Total : 70 files,  382559 codes, 216 comments, 8666 blanks, all 391441 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\modules\recommendation.dart                             | Dart                    |         35 |          4 |          3 |         42 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\modules\skill.dart                                      | Dart                    |         34 |          0 |          3 |         37 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\resource\app_theme.dart                                 | Dart                    |         18 |          0 |          4 |         22 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\resource\constants.dart                                 | Dart                    |         17 |          0 |          7 |         24 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\about\about_section.dart                        | Dart                    |         21 |          0 |          4 |         25 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\about\widgets\about_me_widget.dart              | Dart                    |         56 |          0 |          4 |         60 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\about\widgets\about_section_desktop_view.dart   | Dart                    |         33 |          0 |          4 |         37 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\about\widgets\about_section_mobile_view.dart    | Dart                    |         27 |          0 |          4 |         31 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\about\widgets\install_app_button.dart           | Dart                    |         21 |          0 |          4 |         25 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\about\widgets\job_title.dart                    | Dart                    |         29 |          0 |          4 |         33 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\about\widgets\view_resume_button.dart           | Dart                    |         21 |          0 |          4 |         25 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\about\widgets\widget_circular_animator.dart     | Dart                    |        184 |         20 |         46 |        250 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\contact\contact_section.dart                    | Dart                    |         90 |          0 |          4 |         94 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\contact\widgets\recommendation_widget.dart      | Dart                    |         32 |          1 |          5 |         38 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\contact\widgets\recommendations_carousel.dart   | Dart                    |         32 |          0 |          3 |         35 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\main_screen.dart                                | Dart                    |         47 |          0 |          7 |         54 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\projects\projects_section.dart                  | Dart                    |         43 |          0 |          4 |         47 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\projects\widgets\app_info_dialog.dart           | Dart                    |        111 |          0 |          5 |        116 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\projects\widgets\app_widget.dart                | Dart                    |         69 |          4 |          5 |         78 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\projects\widgets\project_url_icon.dart          | Dart                    |         29 |          0 |          4 |         33 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\projects\widgets\projects_builder.dart          | Dart                    |         49 |          0 |          8 |         57 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\skills\skills_section.dart                      | Dart                    |         51 |          0 |          4 |         55 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\skills\widgets\skill_chip.dart                  | Dart                    |         23 |          0 |          3 |         26 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\widgets\colorful_background.dart                | Dart                    |         20 |          0 |          3 |         23 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\widgets\custom_icon_button.dart                 | Dart                    |         33 |          0 |          3 |         36 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\widgets\fading_translate_widget.dart            | Dart                    |         35 |          1 |          6 |         42 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\services\helper_services.dart                           | Dart                    |         45 |         16 |         12 |         73 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\pubspec.yaml                                                | YAML                    |         48 |         13 |         12 |         73 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web\index.html                                              | HTML                    |         19 |         15 |          7 |         41 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web\manifest.json                                           | JSON                    |         35 |          0 |          0 |         35 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\assets\AssetManifest.bin.json                       | JSON                    |          1 |          0 |          0 |          1 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\assets\AssetManifest.json                           | JSON                    |          1 |          0 |          0 |          1 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\assets\FontManifest.json                            | JSON                    |          1 |          0 |          0 |          1 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\assets\assets\animated_icons\background.json        | JSON                    |          1 |          0 |          0 |          1 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\assets\assets\animated_icons\message_send.json      | JSON                    |          1 |          0 |          0 |          1 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\assets\assets\animated_icons\muscle.json            | JSON                    |      5,904 |          0 |          0 |      5,904 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\canvaskit\canvaskit.js                              | JavaScript              |        209 |          0 |          6 |        215 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\canvaskit\canvaskit.wasm                            | WebAssembly Text Format |    127,874 |          0 |      3,967 |    131,841 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\canvaskit\chromium\canvaskit.js                     | JavaScript              |        208 |          0 |          6 |        214 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\canvaskit\chromium\canvaskit.wasm                   | WebAssembly Text Format |    106,141 |          0 |      2,891 |    109,032 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\canvaskit\skwasm.js                                 | JavaScript              |        161 |          0 |          6 |        167 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\canvaskit\skwasm.wasm                               | WebAssembly Text Format |     54,526 |          0 |      1,534 |     56,060 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\canvaskit\skwasm.worker.js                          | JavaScript              |          1 |          0 |          1 |          2 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\flutter.js                                          | JavaScript              |          3 |          1 |          1 |          5 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\flutter_bootstrap.js                                | JavaScript              |         12 |          1 |          4 |         17 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\flutter_service_worker.js                           | JavaScript              |        209 |         31 |          3 |        243 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\index.html                                          | HTML                    |         19 |         15 |          7 |         41 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\main.dart.js                                        | JavaScript              |     79,741 |          0 |          1 |     79,742 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\manifest.json                                       | JSON                    |         35 |          0 |          0 |         35 |
| c:\Users\Modather\FlutterProjects\personal_projects\portfolio\web_app\version.json                                        | JSON                    |          1 |          0 |          0 |          1 |
| Total                                                                                                                     |                         |    382,559 |        216 |      8,666 |    391,441 |
+---------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
